"verb","feature_raw","feature_clean","feature_revised","revision","feature_type","feature_english","comment"
"knippen","van papier","van papier","","","","",""
"knippen","schaar","schaar","","","","",""
"knippen","lintjes","lintjes","","","","",""
"knippen","kapper","kapper","","","","",""
"knippen","digitaal met word","digitaal met word","","","","",""
"knippen","haar","haar","","","","",""
"knippen","twee vingers nodig","twee vingers nodig","","","","",""
"haasten","tijdsdruk","tijdsdruk","","","","",""
"haasten","stress","stress","","","","",""
"haasten","afspraak","afspraak","","","","",""
"haasten","zich snel voortbeweging","zich snel voortbeweging","","","","",""
"haasten","niet te laat komen","niet te laat komen","","","","",""
"lopen","wandelen","wandelen","","","","",""
"lopen","schoenen","schoenen","","","","",""
"lopen","sport","sport","","","","",""
"lopen","zich rustig voortbewegen","zich rustig voortbewegen","","","","",""
"lopen","voetgangers","voetgangers","","","","",""
"lopen","voetpad","voetpad","","","","",""
"schuifelen","zich heel langzaam voortbewegen","zich heel langzaam voortbewegen","","","","",""
"schuifelen","oude mensen","oude mensen","","","","",""
"schuifelen","innig dansen","innig dansen","","","","",""
"schuifelen","een stel","een stel","","","","",""
"schuifelen","achter een rollator","achter een rollator","","","","",""
"schuifelen","op de dansvloer","op de dansvloer","","","","",""
"schuifelen","op een schoolfeest","op een schoolfeest","","","","",""
"snijden","met een mes","met een mes","","","","",""
"snijden","door etenswaren","door etenswaren","","","","",""
"snijden","opereren","opereren","","","","",""
"snijden","een koude windvlaag","een koude windvlaag","","","","",""
"snijden","chirurg","chirurg","","","","",""
"snijden","slager","slager","","","","",""
"snijden","bakker","bakker","","","","",""
"snijden","snee","snee","","","","",""
"snijden","stukken maken","stukken maken","","","","",""
"snijden","glas","glas","","","","",""
"glippen","glad","glad","","","","",""
"glippen","te snel af zijn","te snel af zijn","","","","",""
"glippen","even snel ergens naar binnen gaan","even snel ergens naar binnen gaan","","","","",""
"glippen","ertussenuit knijpen","ertussenuit knijpen","","","","",""
"glippen","snel","snel","","","","",""
"banjeren","stampen","stampen","","","","",""
"banjeren","grote stappen","grote stappen","","","","",""
"banjeren","door de natuur","door de natuur","","","","",""
"banjeren","door waterplassen","door waterplassen","","","","",""
"banjeren","onoplettendheid op waar je loopt","onoplettendheid op waar je loopt","","","","",""
"banjeren","zonder doel","zonder doel","","","","",""
"hakken","van hout","van hout","","","","",""
"hakken","met een bijl","met een bijl","","","","",""
"hakken","houthakker","houthakker","","","","",""
"hakken","soort dans","soort dans","","","","",""
"hakken","snel bewegen","snel bewegen","","","","",""
"spoeden","haasten","haasten","","","","",""
"spoeden","een doel hebben","een doel hebben","","","","",""
"spoeden","tijdsdruk hebben","tijdsdruk hebben","","","","",""
"spoeden","ambulance","ambulance","","","","",""
"spoeden","politie","politie","","","","",""
"spoeden","brandweer","brandweer","","","","",""
"spoeden","gevaar","gevaar","","","","",""
"spoeden","met hoge snelheid bewegen","met hoge snelheid bewegen","","","","",""
"kuieren","op je gemak","op je gemak","","","","",""
"kuieren","rondlopen zonder speciaal doel","rondlopen zonder speciaal doel","","","","",""
"kuieren","rustig","rustig","","","","",""
"kuieren","samen zijn","samen zijn","","","","",""
"kuieren","keuvelen","keuvelen","","","","",""
"wijken","uit de weg gaan","uit de weg gaan","","","","",""
"wijken","een belemmering","een belemmering","","","","",""
"wijken","obstakel","obstakel","","","","",""
"wijken","niet in een lijn doorkunnen","niet in een lijn doorkunnen","","","","",""
"wijken","alternatief kiezen","alternatief kiezen","","","","",""
"klimmen","een berg","een berg","","","","",""
"klimmen","sport","sport","","","","",""
"klimmen","hoogtes","hoogtes","","","","",""
"klimmen","klimwand","klimwand","","","","",""
"klimmen","zekeringen","zekeringen","","","","",""
"klimmen","naar boven bewegen","naar boven bewegen","","","","",""
"klimmen","ergens tegen aan","ergens tegen aan","","","","",""
"klimmen","trap","trap","","","","",""
"slingeren","niet op de grond staan","niet op de grond staan","","","","",""
"slingeren","loshangen","loshangen","","","","",""
"slingeren","ongecontroleerd","ongecontroleerd","","","","",""
"slingeren","niet in een rechte lijn bewegen","niet in een rechte lijn bewegen","","","","",""
"slingeren","auto's","auto's","","","","",""
"slingeren","liaan","liaan","","","","",""
"slingeren","apen","apen","","","","",""
"sluipen","niet hoorbaar willen zijn","niet hoorbaar willen zijn","","","","",""
"sluipen","onhoorbaar bewegen","onhoorbaar bewegen","","","","",""
"sluipen","op verboden plaats zijn","op verboden plaats zijn","","","","",""
"sluipen","bedachtzaam bewegen","bedachtzaam bewegen","","","","",""
"sluipen","uitkijken","uitkijken","","","","",""
"hardlopen","actief","actief","","","","",""
"hardlopen","sporten","sporten","","","","",""
"hardlopen","wedstrijden","wedstrijden","","","","",""
"hardlopen","marathon","marathon","","","","",""
"hardlopen","hardloopschoenen","hardloopschoenen","","","","",""
"hardlopen","professioneel hardlopers","professioneel hardlopers","","","","",""
"hardlopen","hoog tempo","hoog tempo","","","","",""
"walsen","iets platter maken","iets platter maken","","","","",""
"walsen","kracht","kracht","","","","",""
"walsen","klassieke dansstijl","klassieke dansstijl","","","","",""
"walsen","stel","stel","","","","",""
"walsen","over iemand heen lopen","over iemand heen lopen","","","","",""
"kloppen","tegen een deur","tegen een deur","","","","",""
"kloppen","van beslag","van beslag","","","","",""
"kloppen","luchtig maken","luchtig maken","","","","",""
"kloppen","eieren","eieren","","","","",""
"kloppen","binnengelaten willen worden","binnengelaten willen worden","","","","",""
"kloppen","wanneer dingen juist zijn","wanneer dingen juist zijn","","","","",""
"marcheren","in een groep","in een groep","","","","",""
"marcheren","soldaten","soldaten","","","","",""
"marcheren","synchroon","synchroon","","","","",""
"marcheren","op de maat van muziek","op de maat van muziek","","","","",""
"marcheren","harmonie","harmonie","","","","",""
"marcheren","muziekcorps","muziekcorps","","","","",""
"marcheren","uniform dragen","uniform dragen","","","","",""
"dolen","doelloos","doelloos","","","","",""
"dolen","rondlopen","rondlopen","","","","",""
"dolen","verdwaald zijn","verdwaald zijn","","","","",""
"dolen","langzaam voortbewegen","langzaam voortbewegen","","","","",""
"dolen","alleen zijn","alleen zijn","","","","",""
"dolen","doolhof","doolhof","","","","",""
"afdalen","naar beneden gaan","naar beneden gaan","","","","",""
"afdalen","een berg","een berg","","","","",""
"afdalen","een trap","een trap","","","","",""
"afdalen","slechter worden","slechter worden","","","","",""
"afdalen","met beleid","met beleid","","","","",""
"slaaten","ergens iets uithalen","ergens iets uithalen","","","","",""
"slaaten","voordeel halen","voordeel halen","","","","",""
"slaaten","slaan","slaan","","","","",""
"slaaten","negatief","negatief","","","","",""
"slaaten","salade","salade","","","","",""
"kuieren","relaxed","relaxed","","","","",""
"kuieren","lopen","lopen","","","","",""
"kuieren","bewegen","bewegen","","","","",""
"kuieren","blokje om","blokje om","","","","",""
"kuieren","slenter","slenter","","","","",""
"hakken","schoen","schoen","","","","",""
"hakken","zool","zool","","","","",""
"hakken","verhoging","verhoging","","","","",""
"hakken","voet","voet","","","","",""
"hakken","lengte","lengte","","","","",""
"schuifelen","bewegen","bewegen","","","","",""
"schuifelen","kleine stapjes","kleine stapjes","","","","",""
"schuifelen","voeten","voeten","","","","",""
"schuifelen","lopen","lopen","","","","",""
"schuifelen","langzaam","langzaam","","","","",""
"snijden","mes","mes","","","","",""
"snijden","stukjes","stukjes","","","","",""
"snijden","doormidden","doormidden","","","","",""
"snijden","bewegen","bewegen","","","","",""
"snijden","hand","hand","","","","",""
"snijden","arm","arm","","","","",""
"snijden","zagen","zagen","","","","",""
"snijden","kapot","kapot","","","","",""
"dolen","bewegen","bewegen","","","","",""
"dolen","verplaatsen","verplaatsen","","","","",""
"dolen","lopen","lopen","","","","",""
"dolen","trekken","trekken","","","","",""
"marcheren","lopen","lopen","","","","",""
"marcheren","beenbeweging","beenbeweging","","","","",""
"marcheren","handbeweging","handbeweging","","","","",""
"marcheren","leger","leger","","","","",""
"marcheren","heffen","heffen","","","","",""
"marcheren","grote beweging","grote beweging","","","","",""
"haasten","snel","snel","","","","",""
"haasten","bewegen","bewegen","","","","",""
"haasten","tijdgebrek","tijdgebrek","","","","",""
"haasten","gaan","gaan","","","","",""
"hardlopen","bewegen","bewegen","","","","",""
"hardlopen","lopen","lopen","","","","",""
"hardlopen","voeten","voeten","","","","",""
"hardlopen","hartslag","hartslag","","","","",""
"hardlopen","snel","snel","","","","",""
"hardlopen","beenbeweging","beenbeweging","","","","",""
"hardlopen","armbeweging","armbeweging","","","","",""
"hardlopen","rennen","rennen","","","","",""
"knippen","doormidden","doormidden","","","","",""
"knippen","kapot","kapot","","","","",""
"knippen","bewegen","bewegen","","","","",""
"knippen","arm","arm","","","","",""
"knippen","hand","hand","","","","",""
"knippen","vorm","vorm","","","","",""
"wijken","bewegen","bewegen","","","","",""
"wijken","verplaatsen","verplaatsen","","","","",""
"wijken","omheen","omheen","","","","",""
"wijken","in de weg","in de weg","","","","",""
"wijken","weggaan","weggaan","","","","",""
"walsen","dans","dans","","","","",""
"walsen","beweging","beweging","","","","",""
"walsen","muziek","muziek","","","","",""
"walsen","ouderwets","ouderwets","","","","",""
"walsen","heen en weer","heen en weer","","","","",""
"slingeren","bocht","bocht","","","","",""
"slingeren","bewegen","bewegen","","","","",""
"slingeren","boog","boog","","","","",""
"slingeren","lopen","lopen","","","","",""
"slingeren","links","links","","","","",""
"slingeren","rechts","rechts","","","","",""
"kloppen","geluid","geluid","","","","",""
"kloppen","hand","hand","","","","",""
