response_raw,response_clean,response_english,comment
?,?,,
aaien,aaien,,
aanvaarden,aanvaarden,,
banjeren,banjeren,,
beklimmen,beklimmen,,
bellen,bellen,,
besproeien,besproeien,,
beuken,beuken,,
bewegen,bewegen,,
bezoeken,bezoeken,,
blaken,blaken,,
blijven,blijven,,
bombarderen,bombarderen,,
bonken,bonken,,
bonzen,bonzen,,
dalen,dalen,,
dalen af,dalen af,,
dansen,dansen,,
doen rustig aan,doen rustig aan,,
dolen,dolen,,
drinken,drinken,,
duwen,duwen,,
dwalen,dwalen,,
eten,eten,,
fluisteren,fluisteren,,
gaan,gaan,,
gaan doelgericht,gaan doelgericht,,
gaan door,gaan door,,
gaan in rechte lijn,gaan in rechte lijn,,
gaan opzij,gaan opzij,,
gedijen,gedijen,,
geen idee,geen idee,,
glijden,glijden,,
glippen,glippen,,
haasten,haasten,,
hakken,hakken,,
hangen,hangen,,
hiphoppen,hiphoppen,,
huppelen,huppelen,,
jiven,jiven,,
keren,keren,,
klappen,klappen,,
klauteren,klauteren,,
klimmen,klimmen,,
knippen,knippen,,
knutselen,knutselen,,
komen,komen,,
komen binnen,komen binnen,,
kruipen,kruipen,,
kuieren,kuieren,,
lopen,lopen,,
lopen recht,lopen recht,,
lopen rechtdoor,lopen rechtdoor,,
lopen rustig,lopen rustig,,
maken,maken,,
maken lawaai,maken lawaai,,
marcheren,marcheren,,
mixen,mixen,,
ontdekken,ontdekken,,
ontstressen,ontstressen,,
plakken,plakken,,
rennen,rennen,,
rijden,rijden,,
rijden recht,rijden recht,,
roepen,roepen,,
rust,rust,,
rusten,rusten,,
schaven,schaven,,
scheuren,scheuren,,
schommelen,schommelen,,
schuiven,schuiven,,
sjokken,sjokken,,
slaan,slaan,,
slapen,slapen,,
slenteren,slenteren,,
slingeren,slingeren,,
slippen,slippen,,
sluipen,sluipen,,
snijden,snijden,,
spoeden,spoeden,,
sporten,sporten,,
springen,springen,,
sprinten,sprinten,,
staan,staan,,
staan stil,staan stil,,
stampen,stampen,,
stappen,stappen,,
stijgen,stijgen,,
stommelen,stommelen,,
strompelen,strompelen,,
struinen,struinen,,
tillen,tillen,,
tippelen,tippelen,,
trommelen,trommelen,,
vallen,vallen,,
vallen op,vallen op,,
verdwalen,verdwalen,,
vermijden,vermijden,,
verplaatsen,verplaatsen,,
verstijven,verstijven,,
vormen,vormen,,
vragen,vragen,,
walsen,walsen,,
wandelen,wandelen,,
zagen,zagen,,
zitten,zitten,,
zoeken,zoeken,,
