UserId,verb_id,verb,response_raw
16ada1d593e-a13-faa1-a5bf-cd71,11,schuifelen,sprinten
16ada1d593e-a13-faa1-a5bf-cd71,2,banjeren,lopen rustig
16ada1d593e-a13-faa1-a5bf-cd71,17,snijden,plakken
16ada1d593e-a13-faa1-a5bf-cd71,19,knippen,plakken
16ada1d593e-a13-faa1-a5bf-cd71,10,marcheren,dolen
16ada1d593e-a13-faa1-a5bf-cd71,13,sluipen,banjeren
16ada1d593e-a13-faa1-a5bf-cd71,1,afdalen,klimmen
16ada1d593e-a13-faa1-a5bf-cd71,16,wijken,gaan door
16ada1d593e-a13-faa1-a5bf-cd71,6,hardlopen,kuieren
16ada1d593e-a13-faa1-a5bf-cd71,15,walsen,slingeren
16ada1d593e-a13-faa1-a5bf-cd71,9,lopen,rennen
16ada1d593e-a13-faa1-a5bf-cd71,18,hakken,zagen
16ada1d593e-a13-faa1-a5bf-cd71,8,kuieren,banjeren
16ada1d593e-a13-faa1-a5bf-cd71,21,slaaten,rusten
16ada1d593e-a13-faa1-a5bf-cd71,4,glippen,bezoeken
16ada1d593e-a13-faa1-a5bf-cd71,5,haasten,rusten
16ada1d593e-a13-faa1-a5bf-cd71,3,dolen,gaan doelgericht
16ada1d593e-a13-faa1-a5bf-cd71,20,kloppen,mixen
16ada1d593e-a13-faa1-a5bf-cd71,7,klimmen,dalen af
16ada1d593e-a13-faa1-a5bf-cd71,14,spoeden,rusten
16ada1d593e-a13-faa1-a5bf-cd71,12,slingeren,gaan in rechte lijn
16ada7e49b7-ce39-67ff-7fe-9052,1,afdalen,stijgen
16ada7e49b7-ce39-67ff-7fe-9052,9,lopen,rennen
16ada7e49b7-ce39-67ff-7fe-9052,8,kuieren,zitten
16ada7e49b7-ce39-67ff-7fe-9052,18,hakken,snijden
16ada7e49b7-ce39-67ff-7fe-9052,4,glippen,wandelen
16ada7e49b7-ce39-67ff-7fe-9052,5,haasten,lopen
16ada7e49b7-ce39-67ff-7fe-9052,11,schuifelen,dansen
16ada7e49b7-ce39-67ff-7fe-9052,6,hardlopen,wandelen
16ada7e49b7-ce39-67ff-7fe-9052,12,slingeren,lopen
