verb,response_raw,response_clean,valid_response,comment
klimmen,naar de top van de berg via het mooie uitzichtpunt,naar de top van de berg via het mooie uitzichtpunt,,
kloppen,de hoogste snelheid door via de brug te rijden,de hoogste snelheid door via de brug te rijden,,
glippen,naar binnen in de winkel via de deur,naar binnen in de winkel via de deur,,
spoeden,zich naar het ziekenhuis via de a1,zich naar het ziekenhuis via de a1,,
marcheren,met het orkest naar het park via het grote plein,met het orkest naar het park via het grote plein,,
afdalen,naar de kelder af via de kleine trap,naar de kelder af via de kleine trap,,
sluipen,langs het huis via het bospad,langs het huis via het bospad,,
hardlopen,graag hard via de rustige weg,graag hard via de rustige weg,,
kuieren,langs de molens via de weilanden,langs de molens via de weilanden,,
banjeren,door de plassen in het weiland via het landweggetje,door de plassen in het weiland via het landweggetje,,
slingeren,naar de grote boom via de bomen met lianen,naar de grote boom via de bomen met lianen,,
snijden,de weg af via de brug,de weg af via de brug,,
hakken,een nieuwe weg uit de berg via de bosrand,een nieuwe weg uit de berg via de bosrand,,
haasten,zich naar het ziekenhuis via de snelweg,zich naar het ziekenhuis via de snelweg,,
lopen,een rondje via het bos,een rondje via het bos,,
walsen,naar de bar via het midden van de feestzaal,naar de bar via het midden van de feestzaal,,
dolen,door het bos via het kasteel,door het bos via het kasteel,,
slaaten,zich erdoor heen via de weg,zich erdoor heen via de weg,,
wijken,voor de vrachtwagen een zijweg,voor de vrachtwagen een zijweg,,
schuifelen,naar het bejaardencentrum via de supermarkt,naar het bejaardencentrum via de supermarkt,,
knippen,zich een weg door het hek via de losse draden,zich een weg door het hek via de losse draden,,
haasten,het station naar huis,het station naar huis,,
schuifelen,"naar voren, de rode loper","naar voren, de rode loper",,
glippen,naar binnen via de achterdeur,naar binnen via de achterdeur,,
slingeren,naar het stoplicht via het fietspad,naar het stoplicht via het fietspad,,
hakken,het houtblok via het bos,het houtblok via het bos,,
sluipen,naar binnen via het raam,naar binnen via het raam,,
hardlopen,zij lopen naar huis hard via het museum,zij lopen naar huis hard via het museum,,
slaaten,zij slaaten in het centrum via de grote weg,zij slaaten in het centrum via de grote weg,,
