UserId,verb_id,verb,response_raw
16ada1d593e-a13-faa1-a5bf-cd71,7,klimmen,naar de top van de berg via het mooie uitzichtpunt
16ada1d593e-a13-faa1-a5bf-cd71,20,kloppen,de hoogste snelheid door via de brug te rijden
16ada1d593e-a13-faa1-a5bf-cd71,4,glippen,naar binnen in de winkel via de deur
16ada1d593e-a13-faa1-a5bf-cd71,14,spoeden,zich naar het ziekenhuis via de a1
16ada1d593e-a13-faa1-a5bf-cd71,10,marcheren,met het orkest naar het park via het grote plein
16ada1d593e-a13-faa1-a5bf-cd71,1,afdalen,naar de kelder af via de kleine trap
16ada1d593e-a13-faa1-a5bf-cd71,13,sluipen,langs het huis via het bospad
16ada1d593e-a13-faa1-a5bf-cd71,6,hardlopen,graag hard via de rustige weg
16ada1d593e-a13-faa1-a5bf-cd71,8,kuieren,langs de molens via de weilanden
16ada1d593e-a13-faa1-a5bf-cd71,2,banjeren,door de plassen in het weiland via het landweggetje
16ada1d593e-a13-faa1-a5bf-cd71,12,slingeren,naar de grote boom via de bomen met lianen
16ada1d593e-a13-faa1-a5bf-cd71,17,snijden,de weg af via de brug
16ada1d593e-a13-faa1-a5bf-cd71,18,hakken,een nieuwe weg uit de berg via de bosrand
16ada1d593e-a13-faa1-a5bf-cd71,5,haasten,zich naar het ziekenhuis via de snelweg
16ada1d593e-a13-faa1-a5bf-cd71,9,lopen,een rondje via het bos
16ada1d593e-a13-faa1-a5bf-cd71,15,walsen,naar de bar via het midden van de feestzaal
16ada1d593e-a13-faa1-a5bf-cd71,3,dolen,door het bos via het kasteel
16ada1d593e-a13-faa1-a5bf-cd71,21,slaaten,zich erdoor heen via de weg
16ada1d593e-a13-faa1-a5bf-cd71,16,wijken,voor de vrachtwagen een zijweg
16ada1d593e-a13-faa1-a5bf-cd71,11,schuifelen,naar het bejaardencentrum via de supermarkt
16ada1d593e-a13-faa1-a5bf-cd71,19,knippen,zich een weg door het hek via de losse draden
16ada7e49b7-ce39-67ff-7fe-9052,5,haasten,het station naar huis
16ada7e49b7-ce39-67ff-7fe-9052,11,schuifelen,"naar voren, de rode loper"
16ada7e49b7-ce39-67ff-7fe-9052,4,glippen,naar binnen via de achterdeur
16ada7e49b7-ce39-67ff-7fe-9052,12,slingeren,naar het stoplicht via het fietspad
16ada7e49b7-ce39-67ff-7fe-9052,18,hakken,het houtblok via het bos
16ada7e49b7-ce39-67ff-7fe-9052,13,sluipen,naar binnen via het raam
16ada7e49b7-ce39-67ff-7fe-9052,6,hardlopen,zij lopen naar huis hard via het museum
16ada7e49b7-ce39-67ff-7fe-9052,21,slaaten,zij slaaten in het centrum via de grote weg
16ada7e49b7-ce39-67ff-7fe-9052,20,kloppen,zij kloppen de deur via de drempel
16ada7e49b7-ce39-67ff-7fe-9052,1,afdalen,zij dalen naar beneden af via de slingerweg
16ada7e49b7-ce39-67ff-7fe-9052,2,banjeren,zij banjeren naar huis via een omweg
16ada7e49b7-ce39-67ff-7fe-9052,19,knippen,zij knippen het haar via de schaar
16ada7e49b7-ce39-67ff-7fe-9052,17,snijden,zij snijden het blad via de tuin
16ada7e49b7-ce39-67ff-7fe-9052,14,spoeden,zij spoeden naar het ziekenhuis via de bekende weg
16ada7e49b7-ce39-67ff-7fe-9052,9,lopen,zij lopen naar oma via het steegje
16ada7e49b7-ce39-67ff-7fe-9052,3,dolen,zij dolen naar het cafe via het steegje
16ada7e49b7-ce39-67ff-7fe-9052,15,walsen,zij walsen naar de dansclub via het park
16ada7e49b7-ce39-67ff-7fe-9052,16,wijken,zij wijken voor de auto via de stoep
16ada7e49b7-ce39-67ff-7fe-9052,7,klimmen,zij klimmen de berg op via kleine paadjes
16ada7e49b7-ce39-67ff-7fe-9052,10,marcheren,zij marcheren naar het dorp via het bos
16ada7e49b7-ce39-67ff-7fe-9052,8,kuieren,zij kuieren naar het strand via de boulevard
16adaa7f569-5a1d-6e47-32ef-29d,8,kuieren,zij kuieren en hebben contact via skype
16adaa7f569-5a1d-6e47-32ef-29d,9,lopen,zij lopen via de winkel naar huis
16adaa7f569-5a1d-6e47-32ef-29d,3,dolen,zij dolen richting het park via de brug
16adaa7f569-5a1d-6e47-32ef-29d,15,walsen,zij walsen tijdens de uitzending via een livevideo
16adaa7f569-5a1d-6e47-32ef-29d,12,slingeren,zij slingeren het huis via de lamp en de kast
16adaa7f569-5a1d-6e47-32ef-29d,18,hakken,zij hakken en overleggen over bomen via de houthakker
16adaa7f569-5a1d-6e47-32ef-29d,1,afdalen,zij dalen samen af via de berg
16adaa7f569-5a1d-6e47-32ef-29d,20,kloppen,zij kloppen op raam via de keukendeur
16adaa7f569-5a1d-6e47-32ef-29d,5,haasten,zij haasten zich naar school via het station
16adaa7f569-5a1d-6e47-32ef-29d,2,banjeren,zij banjereren door het centrum via het station
16adaa7f569-5a1d-6e47-32ef-29d,4,glippen,zij glippen het huis uit via het raam
16adaa7f569-5a1d-6e47-32ef-29d,19,knippen,zij knippen kaartjes via de kaartautomaat
16adaa7f569-5a1d-6e47-32ef-29d,16,wijken,zij wijken af van de tijd via sms
16adaa7f569-5a1d-6e47-32ef-29d,11,schuifelen,zij schuifelen samen de dansvloer op via het midden
16adaa7f569-5a1d-6e47-32ef-29d,21,slaaten,zij slaaten thuis via x
16adaa7f569-5a1d-6e47-32ef-29d,17,snijden,zij snijden zichzelf perongeluk via een mes
16adaa7f569-5a1d-6e47-32ef-29d,14,spoeden,zij spoeden zich naar de ehbo via thuis
16adaa7f569-5a1d-6e47-32ef-29d,13,sluipen,zij sluipen via de achterdeur
16adaa7f569-5a1d-6e47-32ef-29d,7,klimmen,zij klimmen de boom in via de takken
16adaa7f569-5a1d-6e47-32ef-29d,10,marcheren,zij marcheren in het legeren via een bepaald ritme
16adaa7f569-5a1d-6e47-32ef-29d,6,hardlopen,zij lopen samen hard via strava
16adaba0add-2691-dbaa-3be9-beb4,14,spoeden,zij spoeden zich naar het ziekenhuis via de snelweg
16adaba0add-2691-dbaa-3be9-beb4,10,marcheren,zij marcheren de stad in via de waalbrug
16adaba0add-2691-dbaa-3be9-beb4,12,slingeren,zij slingeren via lianen
16adaba0add-2691-dbaa-3be9-beb4,13,sluipen,zij sluipen via een sluiproute
16adaba0add-2691-dbaa-3be9-beb4,2,banjeren,zij banjeren via een bospad
16adaba0add-2691-dbaa-3be9-beb4,6,hardlopen,zij lopen hard via de hardloopvereniging
16adaba0add-2691-dbaa-3be9-beb4,18,hakken,x
16adaba0add-2691-dbaa-3be9-beb4,11,schuifelen,zij schuifelen op muziek via de luidspreker
16adaba0add-2691-dbaa-3be9-beb4,16,wijken,zij wijken uit voor de werkzaamheden via een omweg
16adaba0add-2691-dbaa-3be9-beb4,4,glippen,zij glippen weg via de achterdeur
16adaba0add-2691-dbaa-3be9-beb4,17,snijden,zij snijden een stukje af via een sluiproute
16adaba0add-2691-dbaa-3be9-beb4,19,knippen,x
16adaba0add-2691-dbaa-3be9-beb4,3,dolen,x
16adaba0add-2691-dbaa-3be9-beb4,8,kuieren,zij kuieren naar huis via het bosweggetje
16adaba0add-2691-dbaa-3be9-beb4,9,lopen,zij lopen via de route
16adaba0add-2691-dbaa-3be9-beb4,21,slaaten,x
16adaba0add-2691-dbaa-3be9-beb4,5,haasten,zij haasten zich naar huis via de snelweg
16adaba0add-2691-dbaa-3be9-beb4,20,kloppen,x
16adaba0add-2691-dbaa-3be9-beb4,1,afdalen,zij dalen af via de route
16adaba0add-2691-dbaa-3be9-beb4,15,walsen,x
16adaba0add-2691-dbaa-3be9-beb4,7,klimmen,zij klimmen omhoog via het touw
16adae7120a-8047-3277-b4af-746e,13,sluipen,zij sluipen naar huis via de weg
16adae7120a-8047-3277-b4af-746e,4,glippen,zij glippen naar buiten via de deur
16adae7120a-8047-3277-b4af-746e,12,slingeren,zij slingeren in het water via de tak
16adae7120a-8047-3277-b4af-746e,9,lopen,zij lopen met elkaar via de supermarkt
16adae7120a-8047-3277-b4af-746e,3,dolen,zij dolen over het leven via twitter
16adae7120a-8047-3277-b4af-746e,7,klimmen,zij klimmen naar boven via het dal
16adae7120a-8047-3277-b4af-746e,16,wijken,zij wijken af van het plan via de telefoon
16adae7120a-8047-3277-b4af-746e,10,marcheren,zij marcheren op het plein via de kerk
16adae7120a-8047-3277-b4af-746e,19,knippen,zij knippen zijn haar via zijn vrouw
16adae7120a-8047-3277-b4af-746e,17,snijden,zij snijden de groente via het mes
16adae7120a-8047-3277-b4af-746e,21,slaaten,zij slaaten over het ijs via de boom
16adae7120a-8047-3277-b4af-746e,2,banjeren,zij banjeren naar huis via het plein
16adae7120a-8047-3277-b4af-746e,5,haasten,zij haasten naar het gesprek via het station
16adae7120a-8047-3277-b4af-746e,6,hardlopen,zij lopen hard via de toren
16adae7120a-8047-3277-b4af-746e,14,spoeden,zij spoeden naar het ziekenhuis via een tussenweg
16adae7120a-8047-3277-b4af-746e,20,kloppen,zij kloppen op de deur via skype
16adae7120a-8047-3277-b4af-746e,18,hakken,zij hakken het vlees via het mes
16adae7120a-8047-3277-b4af-746e,1,afdalen,zij dalen af via de berg
16adae7120a-8047-3277-b4af-746e,8,kuieren,zij kuieren naar huis via de lantaarnpaal
16adae7120a-8047-3277-b4af-746e,11,schuifelen,zij schuifelen op de dansvloer via het podium
16adae7120a-8047-3277-b4af-746e,15,walsen,zij walsen het materiaal via de machine
16adb2e1e34-4f1d-164-f1c3-5ff1,19,knippen,zij knippen via de krantenkop in het artikel
16adb2e1e34-4f1d-164-f1c3-5ff1,1,afdalen,zij dalen af via de berg
16adb2e1e34-4f1d-164-f1c3-5ff1,21,slaaten,x
16adb2e1e34-4f1d-164-f1c3-5ff1,14,spoeden,zij spoeden via de zijweg
16adb2e1e34-4f1d-164-f1c3-5ff1,8,kuieren,zij kuieren via het bospaadje
16adb2e1e34-4f1d-164-f1c3-5ff1,9,lopen,zij lopen via de grote weg
16adb2e1e34-4f1d-164-f1c3-5ff1,11,schuifelen,x
16adb2e1e34-4f1d-164-f1c3-5ff1,15,walsen,zij walsen via hun vrienden richting de zaal
16adb2e1e34-4f1d-164-f1c3-5ff1,7,klimmen,zij klimmen via een omweg.
16adb2e1e34-4f1d-164-f1c3-5ff1,6,hardlopen,zij lopen hard via het bospad.
16adb2e1e34-4f1d-164-f1c3-5ff1,12,slingeren,zij slingeren via het tuinpad naar de weg.
16adb2e1e34-4f1d-164-f1c3-5ff1,17,snijden,zij snijden via de aderen de kip.
16adb2e1e34-4f1d-164-f1c3-5ff1,4,glippen,zij glippen via het tuinpad naar buiten.
16adb2e1e34-4f1d-164-f1c3-5ff1,20,kloppen,zij kloppen via het raampje aan.
16adb2e1e34-4f1d-164-f1c3-5ff1,16,wijken,zij wijken via de snelweg uit.
16adb2e1e34-4f1d-164-f1c3-5ff1,3,dolen,zij dolen via het park richting centrum.
16adb2e1e34-4f1d-164-f1c3-5ff1,2,banjeren,zij banjeren via de tuin de weg op.
16adb2e1e34-4f1d-164-f1c3-5ff1,18,hakken,zij hakken via een omweg in het hout.
16adb2e1e34-4f1d-164-f1c3-5ff1,13,sluipen,zij sluipen via de kelder de woning in.
16adb2e1e34-4f1d-164-f1c3-5ff1,5,haasten,zij haasten via de binnendoor weg naar het ongeluk.
16adb2e1e34-4f1d-164-f1c3-5ff1,10,marcheren,zij marcheren via de provinciale weg naar het centrum.
16adc0f590f-1983-3c29-2c68-7c34,16,wijken,zij wijken uit voor een dier
16adc0f590f-1983-3c29-2c68-7c34,18,hakken,zij hakken met een bijl
16adc0f590f-1983-3c29-2c68-7c34,8,kuieren,zij kuieren over de weg
16adc0f590f-1983-3c29-2c68-7c34,12,slingeren,zij slingeren via de weg naar huis
16adc0f590f-1983-3c29-2c68-7c34,1,afdalen,zij dalen af via de berg
16adc0f590f-1983-3c29-2c68-7c34,15,walsen,x
16adc0f590f-1983-3c29-2c68-7c34,13,sluipen,zij sluipen via de trap naar beneden.
16adc0f590f-1983-3c29-2c68-7c34,7,klimmen,zij klimmen via de muur omhoog
16adc0f590f-1983-3c29-2c68-7c34,20,kloppen,zij kloppen via de deur aan.
16adc0f590f-1983-3c29-2c68-7c34,19,knippen,x
16adc0f590f-1983-3c29-2c68-7c34,3,dolen,zij dolen via de weg naar huis.
16adc0f590f-1983-3c29-2c68-7c34,14,spoeden,x
16adc0f590f-1983-3c29-2c68-7c34,21,slaaten,x
16adc0f590f-1983-3c29-2c68-7c34,4,glippen,zij glippen via het raam er tussenuit
16adc0f590f-1983-3c29-2c68-7c34,9,lopen,zij lopen via de weg
16adc0f590f-1983-3c29-2c68-7c34,5,haasten,zij haasten zich via de deur naar buiten.
16adc0f590f-1983-3c29-2c68-7c34,2,banjeren,zij banjeren via de tuin door het huis.
16adc0f590f-1983-3c29-2c68-7c34,6,hardlopen,zij lopen hard via de weg
16adc0f590f-1983-3c29-2c68-7c34,10,marcheren,zij marcheren via de weg
16adc0f590f-1983-3c29-2c68-7c34,11,schuifelen,zij schuifelen voetje voor voetje via de stoep
16adc0f590f-1983-3c29-2c68-7c34,17,snijden,x
16adfec50ad-8c32-71a8-2899-a2df,11,schuifelen,x
16adfec50ad-8c32-71a8-2899-a2df,21,slaaten,x
16adfec50ad-8c32-71a8-2899-a2df,6,hardlopen,ver hard via het bospad
16adfec50ad-8c32-71a8-2899-a2df,9,lopen,naar huis via de kortste weg
16adfec50ad-8c32-71a8-2899-a2df,10,marcheren,binnen via de via gladiola
16adfec50ad-8c32-71a8-2899-a2df,12,slingeren,de weg af via de vangrail
