feature,negation,via
afdalen,dalen niet af,dalen ... af
banjeren,banjeren niet,banjeren ...
dolen,dolen niet,dolen ...
glippen,glippen niet,glippen ....
haasten,haasten niet,haasten ...
hardlopen,lopen niet hard,lopen ... hard
klimmen,klimmen niet,klimmen ...
kuieren,kuieren niet,kuieren ....
lopen,lopen niet,lopen ...
marcheren,marcheren niet,marcheren ...
schuifelen,schuifelen niet,schuifelen ...
slingeren,slingeren niet,slingeren ...
sluipen,sluipen niet,sluipen ...
spoeden,spoeden niet,spoeden ...
walsen,walsen niet,walsen ...
wijken,wijken niet,wijken ...
snijden,snijden niet,snijden ...
hakken,hakken niet,hakken ...
knippen,knippen niet,knippen ...
kloppen,kloppen niet,kloppen ...
slaaten,slaaten niet,slaaten ...
